paper_title,paper_url
Seasonal Nitrous Oxide Emissions From Hydroponic Tomato and Cucumber Cultivation in a Commercial Greenhouse Company,https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2021.626053/full
Microbial Community Analysis and Food Safety Practice Survey-Based Hazard Identification and Risk Assessment for Controlled Environment Hydroponic/Aquaponic Farming Systems,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.879260/full
Effect of Methyl Jasmonate Treatment on Primary and Secondary Metabolites and Antioxidant Capacity of the Substrate and Hydroponically Grown Chinese Chives,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2022.859035/full
Distinct metabolite classes in root exudates are indicative for field- or hydroponically-grown cover crops,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2023.1122285/full
Changes in Leaf Anatomical Traits Enhanced Photosynthetic Activity of Soybean Grown in Hydroponics with Plant Growth-Promoting Microorganisms,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2017.00674/full
Hydroponic lettuce defective leaves identification based on improved YOLOv5s,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2023.1242337/full
Integrated physicochemical hormonal and transcriptomic analysis reveals the underlying mechanism of callus formation in Pinellia ternata hydroponic cuttings,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2023.1189499/full
Use of reclaimed urban wastewater for the production of hydroponic barley forage: water characteristics feed quality and effects on health status and production of lactating cows,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2023.1274466/full
Isolation Characterization and Inactivation of Stenotrophomonas maltophilia From Leafy Green Vegetables and Urban Agriculture Systems,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2019.02718/full
A Flexible Low-Cost Hydroponic Co-Cultivation System for Studying Arbuscular Mycorrhiza Symbiosis,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2020.00063/full
