type,text,choices,answer,url
multiple_choice,What is the global warming potential of nitrous oxide (N2O) compared to carbon dioxide (CO2) on a 100-year scale?,"['10 times higher', '100 times higher', '300 times higher', '500 times higher']",300 times higher,https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2021.626053/full
multiple_choice,What is the most dominant genus identified in the hydroponic microgreen farm according to the study?,"['Pseudomonas', 'Actinobacteria', 'Cyanobacteria', 'Proteobacteria']",Pseudomonas,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.879260/full
multiple_choice,What is the effect of 500 μM MeJA treatment on the total sugar and amino acid contents of hydroponically grown Chinese chives?,"['It significantly decreased both total sugar and amino acid contents', 'It significantly increased both total sugar and amino acid contents', 'It significantly increased total sugar content but decreased amino acid content', 'No significant changes were observed']",It significantly increased both total sugar and amino acid contents,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2022.859035/full
multiple_choice,Which cover crop species showed a higher recovery of total carbon in hydroponics compared to the field?,"['Mustard', 'Phacelia', 'Oat', 'Clover']",Mustard,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2023.1122285/full
multiple_choice,What are the effects of plant growth-promoting microorganisms (PGPMs) on soybean when grown hydroponically?,"['Decreased photosynthetic activity', 'No significant effects', 'Enhanced photosynthetic activity and growth', 'Reduced plant growth']",Enhanced photosynthetic activity and growth,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2017.00674/full
multiple_choice,What is the primary purpose of integrating the ECA module into the backbone of the YOLOv5 model in the study?,"['To reduce the computational complexity of the model', ""To enhance the model's ability to extract image features"", 'To increase the model size and parameters', 'To simplify the training process']",To enhance the model's ability to extract image features,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2023.1242337/full
multiple_choice,What role does cytokinins (CKs) play in the callus formation of Pinellia ternata hydroponic cuttings?,"['They inhibit cell division and promote senescence.', 'They play a crucial role in promoting cell division and preventing senescence.', 'They have no significant effect on callus formation.', 'They regulate the coloration of callus.']",They play a crucial role in promoting cell division and preventing senescence.,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2023.1189499/full
multiple_choice,What was the primary purpose of using reclaimed urban wastewater (RUW) in the production of hydroponic barley forage (HBF) in the study?,"['To test the growth rate of barley in a controlled environment', ""To evaluate the safety and effects of RUW on lactating cows' health and milk production"", 'To increase the commercial profitability of dairy farms', 'To compare the efficiency of RUW with traditional watering systems']",To evaluate the safety and effects of RUW on lactating cows' health and milk production,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2023.1274466/full
multiple_choice,Which treatment method resulted in the highest reduction of Stenotrophomonas maltophilia in biofilms according to the study?,"['UV treatment with 250 mJ/cm2', 'QAC treatment of 200 ppm for 15 minutes', 'Both treatments resulted in similar reductions', 'Neither treatment was effective']",UV treatment with 250 mJ/cm2,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2019.02718/full
multiple_choice,What is the primary purpose of using hydroponic systems in the study of arbuscular mycorrhiza (AM) symbiosis?,"['To control nutrient and chemical concentrations more easily', 'To increase the growth speed of the plant', 'To enhance the aesthetic appeal of the experimental setup', 'To reduce the cost of the research significantly']",To control nutrient and chemical concentrations more easily,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2020.00063/full
